StudentID,FirstName,LastName,Gender,DateOfBirth,Major,GPA
1001,Aria,Lane,Female,9/3/2004,Physics,2.33
1002,Rosie,Edwards,Female,5/13/2001,Computer Science,2.07
1003,Eli,Fletcher,Male,8/11/2001,Biology,3.04
1004,Gianna,Fletcher,Female,6/8/1999,Computer Science,3.97
1005,Addison,Gibson,Female,5/30/2000,Physics,3.68
1006,Serenity,Dixon,Female,10/4/1998,Mathematics,2.88
1007,Oliver,Ali,Male,8/20/1999,Biology,3.17
1008,Serenity,Payne,Female,6/18/1997,Mathematics,2.27
1009,Adeline,Ahmed,Female,5/18/2004,Physics,2.65
1010,Aiden,Rogers,Male,10/30/2000,Physics,2.09
1011,Florence,Pearson,Female,1/21/2000,Biology,2.79
1012,Lyla,Cook,Female,3/17/2003,Computer Science,2.59
1013,Walker,Pearson,Male,7/24/1996,Biology,2.93
1014,Lily,Parker,Female,6/17/1998,Computer Science,3.43
1015,Roman,Butler,Male,5/28/2000,Computer Science,2.34
1016,Madison,Mills,Female,6/13/2003,Biology,3.17
1017,Daisy,Ali,Female,12/9/1994,Biology,3.16
1018,Poppy,Thomas,Female,3/12/1998,Physics,3.92
1019,Zion,Allen,Male,7/15/2000,Biology,2.75
1020,Hallie,Cook,Female,1/9/1998,Computer Science,3.75
1021,Christopher,Allen,Male,1/17/2003,Biology,3.03
1022,Hazel,Fletcher,Female,5/11/2005,Physics,3.42
1023,Millie,Wilson,Female,9/16/2005,Biology,2.75
1024,Christopher,Griffiths,Male,7/31/2003,Computer Science,3.39
1025,Ruby,Scott,Female,1/26/1990,Biology,3.33
1026,Liam,Taylor,Male,1/12/1992,Computer Science,2.42
1027,Daisy,Bennett,Female,3/17/2003,Computer Science,2.18
1028,Leo,Jones,Male,4/13/2003,Biology,2.08
1029,Charlotte,Kennedy,Female,7/30/1994,Physics,2.21
1030,William,Cox,Male,12/21/2005,Physics,2.47
1031,Bella,Gray,Female,6/29/2003,Physics,2.96
1032,Kai,Patel,Male,11/15/1996,Biology,2.93
1033,Josiah,Matthews,Male,12/11/2000,Physics,2.66
1034,Theodore,Marshall,Male,6/4/1995,Physics,3.12
1035,Easton,Clarke,Male,11/8/2002,Computer Science,3.76
1036,George,Wood,Male,12/3/2000,Physics,2.69
1037,Camila,Butler,Female,1/24/1990,Computer Science,2.27
1038,Valentina,O'Brien,Female,6/27/2003,Physics,2.42
1039,Lucy,Allen,Female,6/6/2004,Mathematics,2.35
1040,Avery,Brooks,Female,3/15/2001,Computer Science,2.42
1041,Raelynn,Walsh,Female,9/2/1996,Biology,2.22
1042,August,Dixon,Male,10/20/1998,Mathematics,3.6
1043,August,Stevens,Male,2/12/1999,Mathematics,2.19
1044,Charlie,Jones,Male,4/10/2003,Computer Science,2.43
1045,Lincoln,Fletcher,Male,7/13/2001,Physics,2.96
1046,Aiden,Kelly,Male,5/3/1998,Physics,3.25
1047,Mia,Harvey,Female,8/5/2000,Mathematics,3.34
1048,Millie,Watson,Female,7/16/1994,Computer Science,2.78
1049,Maya,Khan,Female,8/4/2000,Mathematics,2.21
1050,Elsie,Powell,Female,5/9/1998,Mathematics,2.87
1051,Jack,Lawrence,Male,10/24/1996,Biology,2.31
1052,Eliana,Wilson,Female,6/9/2003,Computer Science,2.32
1053,Atlas,Russell,Male,4/2/1994,Biology,3.89
1054,Madelyn,Jackson,Female,9/8/2005,Mathematics,3.48
1055,Vivian,Morris,Female,6/24/1999,Computer Science,2.1
1056,Cameron,Fletcher,Male,5/30/1996,Computer Science,3.77
1057,James,Mason,Male,9/26/1992,Computer Science,2.69
1058,Lincoln,Chapman,Male,12/22/2000,Computer Science,2.19
1059,Eleanor,West,Female,4/12/1998,Computer Science,3.62
1060,Lucy,Harris,Female,9/22/2005,Computer Science,2.4
1061,Daniel,Palmer,Male,1/15/1990,Biology,3.93
1062,Lucas,Singh,Male,11/30/1999,Physics,3.78
1063,Matthew,Wilson,Male,1/1/1994,Computer Science,3.43
1064,Benjamin,Fox,Male,2/27/1999,Biology,3.96
1065,William,Holmes,Male,8/28/1999,Computer Science,2.65
1066,Paisley,Cooper,Female,10/10/1991,Physics,2.15
1067,Henry,Perry,Male,9/6/2004,Computer Science,3.84
1068,Maisie,Mason,Female,10/17/1992,Biology,2.95
1069,Jeremiah,Hughes,Male,6/24/2005,Computer Science,2.09
1070,Victoria,Rogers,Female,12/11/1991,Physics,3.36
1071,Delilah,Marshall,Female,3/4/1998,Mathematics,2.07
1072,Alfie,Phillips,Male,5/27/1999,Biology,2.13
1073,Hugo,Allen,Male,10/12/1990,Physics,3.77
1074,Eloise,Reynolds,Female,3/29/2003,Biology,3.8
1075,Arabella,Hughes,Female,11/16/1994,Computer Science,2.73
1076,Scarlett,Griffiths,Female,3/19/2002,Biology,3.65
1077,Finley,Russell,Male,4/22/2000,Biology,2.91
1078,Layla,Brooks,Female,5/7/2003,Biology,2.91
1079,Freddie,Day,Male,6/7/1996,Biology,3.18
1080,Waylon,Walker,Male,7/28/1994,Mathematics,2.19
1081,Kai,Williams,Male,2/22/2004,Biology,3.92
1082,Gabriel,Powell,Male,3/19/1994,Physics,2.97
1083,Colton,Pearce,Male,7/26/1995,Physics,3.34
1084,Raelynn,Reynolds,Female,11/27/2003,Mathematics,2.56
1085,Freya,Pearson,Female,7/30/1997,Biology,3.82
1086,Enzo,Khan,Male,11/21/1993,Mathematics,3.8
1087,James,Owen,Male,12/23/1990,Biology,2.89
1088,Sadie,West,Female,10/19/1995,Physics,3.16
1089,Axel,Jackson,Male,1/3/1991,Mathematics,3.13
1090,Nathan,Russell,Male,1/20/1998,Mathematics,3.27
1091,Eli,Palmer,Male,6/10/2005,Physics,2.5
1092,Oliver,Brooks,Male,4/22/1990,Biology,3.3
1093,Victoria,Ward,Female,5/13/2002,Mathematics,2.75
1094,Muhammad,Fox,Male,3/8/1997,Physics,3.63
1095,Maria,Johnson,Female,5/15/1998,Computer Science,2.78
1096,Melody,Roberts,Female,6/20/2005,Computer Science,2.95
1097,Nevaeh,Jones,Female,2/27/2003,Mathematics,3.94
1098,Walker,Murphy,Male,3/28/2003,Physics,3.54
1099,Valentina,Ali,Female,12/16/2002,Computer Science,2.04
1100,Noah,Young,Male,9/12/2005,Mathematics,2.68
1101,Maverick,Robinson,Male,6/25/1999,Biology,3.01
1102,Micah,Price,Male,12/31/2001,Biology,2.47
1103,Mateo,Wright,Male,7/13/1999,Physics,2.07
1104,Maya,Brown,Female,11/3/1993,Biology,3.2
1105,Jade,Chapman,Female,6/20/1993,Mathematics,2.31
1106,Daisy,Khan,Female,5/19/1997,Computer Science,2.97
1107,Clara,Ford,Female,5/5/1997,Biology,2.76
1108,Noah,Stevens,Male,12/23/1995,Mathematics,3.23
1109,Jade,Morgan,Female,11/15/2000,Biology,2.65
1110,Millie,Bell,Female,6/24/1994,Computer Science,2.85
1111,August,Stevens,Male,3/13/1997,Computer Science,3.41
1112,Michael,Kaur,Male,9/1/1991,Physics,3.66
1113,Everly,Clark,Female,9/29/1992,Physics,3.92
1114,Christopher,Pearce,Male,7/7/1996,Computer Science,2.42
1115,Oaklynn,Jones,Female,12/19/1992,Physics,3.05
1116,Naomi,Day,Female,11/23/1990,Physics,3.82
1117,Florence,Walsh,Female,12/2/2001,Physics,2.06
1118,Sarah,Kelly,Female,12/1/1994,Mathematics,2.67
1119,Caleb,Ward,Male,6/3/2001,Computer Science,2.54
1120,Charlotte,Shaw,Female,10/24/1998,Computer Science,2.63
1121,Brooks,Ellis,Male,2/27/1990,Biology,3.77
1122,Jasmine,Murray,Female,12/20/2005,Physics,2.23
1123,John,Howard,Male,1/18/1995,Computer Science,2.34
1124,Oaklynn,Fletcher,Female,11/3/1994,Computer Science,2.93
1125,Alexander,Lane,Male,7/5/2003,Biology,3.4
1126,Miles,Martin,Male,9/30/1992,Biology,3.12
1127,Isabella,Ward,Female,6/14/1992,Biology,3.1
1128,Colton,Russell,Male,3/24/1992,Computer Science,3.35
1129,Ruby,James,Female,3/11/1997,Physics,3.79
1130,Clara,Foster,Female,1/20/1998,Biology,3.54
1131,Maya,Barker,Female,6/4/1995,Biology,2.33
1132,Charlotte,Hussain,Female,6/27/2004,Biology,3.22
1133,Cameron,Singh,Male,6/20/2005,Mathematics,3.27
1134,Sarah,Clark,Female,8/17/2001,Physics,3.23
1135,Asher,Parker,Male,11/15/2003,Mathematics,2.74
1136,Rowan,Clarke,Male,3/19/1997,Computer Science,2.69
1137,Abigail,Graham,Female,11/21/2002,Computer Science,2.28
1138,Brooklyn,Cox,Female,7/24/1997,Mathematics,2.86
1139,Tommy,Clarke,Male,10/5/1999,Mathematics,3.96
1140,Florence,Harris,Female,7/23/2003,Physics,2.51
1141,Colton,Bailey,Male,12/17/2001,Mathematics,2.51
1142,Christian,Mason,Male,4/2/1996,Biology,2.39
1143,Adam,Mitchell,Male,6/21/1990,Biology,3.74
1144,River,Anderson,Male,12/3/2000,Mathematics,2.27
1145,Elizabeth,Carter,Female,3/11/2005,Computer Science,3.65
1146,Madelyn,Ali,Female,5/31/2005,Physics,2.44
1147,Carter,Jackson,Male,4/3/1999,Biology,2.46
1148,Alice,Reynolds,Female,10/26/1993,Biology,3.41
1149,Weston,Andrews,Male,2/28/1999,Biology,2.78
1150,Myles,Allen,Male,9/5/2003,Physics,2.1
1151,Theo,Hussain,Male,6/8/1995,Computer Science,2.09
1152,Poppy,Singh,Female,5/11/1994,Physics,3.86
1153,Willow,Fox,Female,11/17/1993,Mathematics,3.92
1154,George,Kennedy,Male,5/7/1991,Biology,2.79
1155,Aaliyah,Powell,Female,1/19/1991,Biology,2.25
1156,Luna,Adams,Female,12/19/2001,Physics,2.61
1157,Aiden,Elliott,Male,7/22/1997,Computer Science,3.58
1158,Luke,Hunt,Male,12/4/1994,Computer Science,3.24
1159,Melody,Hussain,Female,7/9/2004,Biology,3.14
1160,Zoe,Simpson,Female,8/4/2000,Biology,2.92
1161,Rowan,Howard,Male,2/26/2005,Computer Science,2.53
1162,Beau,Hughes,Male,12/12/1993,Physics,3.98
1163,Elias,Baker,Male,10/9/1990,Computer Science,2.01
1164,Ellie,Phillips,Female,6/7/1995,Computer Science,3.34
1165,Jade,Patel,Female,8/26/1998,Biology,2.11
1166,Rose,Bell,Female,4/5/1996,Physics,2.18
1167,Lucas,Rogers,Male,1/9/2000,Mathematics,2.33
1168,Melody,Powell,Female,10/14/1991,Computer Science,2.67
1169,Alfie,Cooper,Male,9/13/1993,Physics,2.48
1170,Aria,Clarke,Female,11/2/1996,Biology,3.36
1171,Christian,Dixon,Male,3/12/1992,Physics,3.52
1172,Kai,Young,Male,8/5/1999,Mathematics,2.76
1173,Madelyn,Ali,Female,10/20/1998,Computer Science,3.03
1174,Elias,Evans,Male,7/26/2003,Biology,2.06
1175,Lainey,Powell,Female,10/22/1995,Biology,2.04
1176,Nathan,Khan,Male,7/14/2000,Mathematics,2.99
1177,Noah,Lee,Male,5/25/2000,Mathematics,3.32
1178,Alice,Collins,Female,9/9/1993,Physics,3.11
1179,Iris,Jones,Female,2/24/1995,Computer Science,2.37
1180,Aaliyah,Baker,Female,7/9/1992,Biology,3.94
1181,Chloe,Jenkins,Female,12/22/1997,Biology,3.21
1182,Stella,Perry,Female,6/11/1996,Physics,3.78
1183,Oliver,Butler,Male,8/7/2001,Biology,2
1184,Oaklynn,Hall,Female,1/3/1995,Biology,4
1185,Charlotte,Gibson,Female,5/20/2005,Mathematics,3.44
1186,Maya,Reynolds,Female,1/12/2003,Physics,3.92
1187,Christopher,Stewart,Male,8/19/2001,Physics,3.65
1188,Emma,Marshall,Female,12/3/1997,Computer Science,2.62
