EnrollmentID,StudentID,CourseID,Semester,Year,Grade,FirstName,LastName,Gender,DateOfBirth,Major,GPA
1,1039,COURSE47,2nd semester,2019,F,Lucy,Allen,Female,6/6/2004,Mathematics,2.35
2,1053,COURSE3,2nd semester,2022,C,Atlas,Russell,Male,4/2/1994,Biology,3.89
3,1369,COURSE27,2nd semester,2022,B,Poppy,Stevens,Female,5/9/1990,Biology,3.49
4,1202,COURSE22,Resit,2020,D,Athena,Dixon,Female,5/6/2003,Physics,2.97
5,1163,COURSE43,1st semester,2020,C,Elias,Baker,Male,10/9/1990,Computer Science,2.01
6,1307,COURSE26,2nd semester,2019,B,Rose,Lawrence,Female,8/24/1994,Physics,2.67
7,1474,COURSE38,Resit,2020,F,Wyatt,Davis,Male,4/25/1997,Biology,2.32
8,1031,COURSE50,2nd semester,2020,C,Bella,Gray,Female,6/29/2003,Physics,2.96
9,1340,COURSE38,2nd semester,2023,F,Lily,Harris,Female,3/19/1996,Physics,2.91
10,1374,COURSE16,2nd semester,2022,A,Maverick,Lewis,Male,8/27/2005,Physics,3.9
11,1496,COURSE26,1st semester,2023,B,Maverick,Cook,Male,5/5/1995,Mathematics,2.1
12,1197,COURSE38,2nd semester,2024,C,Jaxon,Butler,Male,6/13/1995,Mathematics,2.34
13,1374,COURSE23,2nd semester,2019,B,Maverick,Lewis,Male,8/27/2005,Physics,3.9
14,1493,COURSE31,1st semester,2023,A,Xavier,Parker,Male,10/4/1996,Physics,3.96
15,1039,COURSE9,Resit,2022,A,Lucy,Allen,Female,6/6/2004,Mathematics,2.35
16,1001,COURSE18,2nd semester,2021,B,Aria,Lane,Female,9/3/2004,Physics,2.33
17,1139,COURSE13,1st semester,2019,B,Tommy,Clarke,Male,10/5/1999,Mathematics,3.96
18,1365,COURSE18,1st semester,2022,A,Addison,Jones,Female,8/29/1998,Mathematics,2.77
19,1106,COURSE28,Resit,2020,F,Daisy,Khan,Female,5/19/1997,Computer Science,2.97
20,1117,COURSE19,Resit,2024,B,Florence,Walsh,Female,12/2/2001,Physics,2.06
21,1321,COURSE11,1st semester,2023,B,Ali,Smith,Male,1/14/1991,Biology,2.3
22,1351,COURSE6,1st semester,2023,D,Florence,Rogers,Female,6/12/1995,Physics,2.83
23,1446,COURSE10,2nd semester,2020,A,Zara,Phillips,Female,7/12/2003,Mathematics,2.03
24,1335,COURSE27,1st semester,2021,C,Daniel,Mason,Male,4/5/2000,Mathematics,3.05
25,1234,COURSE2,Resit,2020,D,Axel,Cooper,Male,10/31/1997,Computer Science,3.77
26,1420,COURSE46,1st semester,2019,C,Lillian,Murphy,Female,7/12/1991,Mathematics,3.21
27,1039,COURSE49,Resit,2020,C,Lucy,Allen,Female,6/6/2004,Mathematics,2.35
28,1458,COURSE35,1st semester,2022,A,Brielle,Ellis,Female,3/11/1992,Physics,2.33
29,1256,COURSE46,Resit,2020,A,Ellie,Cox,Female,4/3/2002,Biology,2.94
30,1405,COURSE17,1st semester,2019,D,Jade,Hunt,Female,3/24/1993,Computer Science,2.68
31,1387,COURSE49,2nd semester,2019,B,Sophia,Ford,Female,2/1/1990,Physics,2.05
32,1114,COURSE18,1st semester,2020,F,Christopher,Pearce,Male,7/7/1996,Computer Science,2.42
33,1055,COURSE41,2nd semester,2021,F,Vivian,Morris,Female,6/24/1999,Computer Science,2.1
34,1060,COURSE24,2nd semester,2023,A,Lucy,Harris,Female,9/22/2005,Computer Science,2.4
35,1316,COURSE41,2nd semester,2021,C,Enzo,Davies,Male,2/17/1994,Mathematics,3.96
36,1271,COURSE17,1st semester,2020,F,Ellie,Davies,Female,1/2/1995,Physics,2.76
37,1314,COURSE13,Resit,2024,A,Brooklyn,Collins,Female,1/28/1996,Mathematics,2.73
38,1388,COURSE18,Resit,2022,A,Enzo,Jenkins,Male,9/23/1990,Computer Science,3.23
39,1180,COURSE25,Resit,2019,C,Aaliyah,Baker,Female,7/9/1992,Biology,3.94
40,1103,COURSE34,2nd semester,2022,A,Mateo,Wright,Male,7/13/1999,Physics,2.07
41,1245,COURSE4,1st semester,2019,F,Emily,Moore,Female,3/11/2000,Biology,2.45
42,1109,COURSE26,2nd semester,2021,A,Jade,Morgan,Female,11/15/2000,Biology,2.65
43,1400,COURSE31,1st semester,2021,A,Freddie,Clarke,Male,1/13/1998,Mathematics,3.15
44,1003,COURSE18,Resit,2020,C,Eli,Fletcher,Male,8/11/2001,Biology,3.04
45,1319,COURSE36,1st semester,2020,D,Caleb,Turner,Male,11/14/1998,Computer Science,3.46
46,1325,COURSE30,1st semester,2019,A,Beau,Phillips,Male,5/15/2004,Biology,2.55
47,1426,COURSE30,2nd semester,2019,C,Violet,Baker,Female,11/19/2000,Biology,3.67
48,1050,COURSE42,2nd semester,2020,B,Elsie,Powell,Female,5/9/1998,Mathematics,2.87
